index,count,pval,context
Body,362/993,1.1445933901657594e-11,relativeGene
TSS1500,94/993,0.9656832122596334,relativeGene
TSS200,42/993,0.999999997584219,relativeGene
5'UTR,47/993,0.4082480564811096,relativeGene
1stExon,33/993,0.0050017576102126884,relativeGene
3'UTR,20/993,0.9714115767567818,relativeGene
Unclassified_Cell_type_specific,72/993,1.0,regulatoryFeature
Unclassified,40/993,1.0,regulatoryFeature
Promoter_Associated,38/993,1.0,regulatoryFeature
NonGene_Associated_Cell_type_specific,4/993,0.04095197625212841,regulatoryFeature
Promoter_Associated_Cell_type_specific,8/993,0.9999999967583137,regulatoryFeature
NonGene_Associated,8/993,0.5220310087656734,regulatoryFeature
Gene_Associated_Cell_type_specific,3/993,0.9992318400944773,regulatoryFeature
Gene_Associated,1/993,0.99948439067776,regulatoryFeature
N_Shelf,61/993,0.9899078262591081,relativeIsland
S_Shelf,51/993,0.9965720717455312,relativeIsland
N_Shore,175/993,0.985441836670466,relativeIsland
Island,104/993,1.0,relativeIsland
S_Shore,94/993,0.9999999987799972,relativeIsland
True,99/993,0.9908465341798598,DHS
False,894/993,0.012014154029767517,DHS
True,371/993,6.640998966930074e-32,Enhancer
False,622/993,1.0,Enhancer
