index,count,pval,context
Body,92/292,0.03919704007124714,relativeGene
3'UTR,7/292,0.7560834686326726,relativeGene
5'UTR,30/292,3.260272659875822e-05,relativeGene
TSS200,20/292,0.9205871925221305,relativeGene
TSS1500,28/292,0.8334064961351991,relativeGene
1stExon,12/292,0.017741021356010862,relativeGene
Promoter_Associated,12/292,1.0,regulatoryFeature
Unclassified_Cell_type_specific,21/292,0.9999999999950041,regulatoryFeature
Unclassified,11/292,0.9999999999999719,regulatoryFeature
Promoter_Associated_Cell_type_specific,4/292,0.9936737810502148,regulatoryFeature
Gene_Associated_Cell_type_specific,1/292,0.9663732661015316,regulatoryFeature
NonGene_Associated,1/292,0.9007154461334164,regulatoryFeature
S_Shore,23/292,0.9999844068324258,relativeIsland
Island,94/292,0.999999994853467,relativeIsland
N_Shore,26/292,0.9999999658108066,relativeIsland
S_Shelf,10/292,0.9979611259105523,relativeIsland
N_Shelf,8/292,0.999957359516628,relativeIsland
True,61/292,2.4859862865351707e-05,DHS
False,231/292,0.9999872527109723,DHS
True,108/292,3.5949145010501845e-10,Enhancer
False,184/292,0.999999999839787,Enhancer
